clics_db_id,start_date,end_date,parent_id
5693,2023-01-01,NULL,64964
5694,2023-01-01,NULL,64965
5695,2024-01-01,NULL,64966
5696,2024-01-01,NULL,64967
5697,2024-01-01,NULL,64968
5698,2023-01-01,NULL,64969
5699,2024-01-01,NULL,64970
5700,2024-01-01,NULL,64971
5701,2024-01-01,NULL,64972
5702,2023-01-01,NULL,64973
5703,2024-01-01,NULL,64974
5704,2024-01-01,NULL,64975
5705,2023-01-01,NULL,64976
5706,2024-01-01,NULL,64977
5707,2024-01-01,NULL,64978
5708,2024-01-01,NULL,64979
5709,2023-01-01,NULL,64980
5710,2023-01-01,NULL,64981
5711,2024-01-01,NULL,64982
5712,2023-01-01,NULL,64983
5713,2023-01-01,NULL,64984
5714,2023-01-01,NULL,64985
5715,2023-01-01,NULL,64986
5716,2024-01-01,NULL,64987
5717,2024-01-01,NULL,64988
5718,2024-01-01,NULL,64989
5719,2024-01-01,NULL,64990
5720,2024-01-01,NULL,64991
5721,2023-01-01,NULL,64992
5722,2024-01-01,NULL,64993
5723,2023-01-01,NULL,64994
5724,2024-01-01,NULL,64995
5725,2024-01-01,NULL,64996
5726,2024-01-01,NULL,64997
5727,2024-01-01,NULL,64998
5728,2024-01-01,NULL,64999
5729,2023-01-01,NULL,65000
5730,2023-01-01,NULL,65001
5731,2024-01-01,NULL,65002
5732,2024-01-01,NULL,65003
5733,2024-01-01,NULL,65004
5734,2024-01-01,NULL,65005
5735,2023-01-01,NULL,65006
5736,2023-01-01,NULL,65007
5737,2024-01-01,NULL,65008
5738,2024-01-01,NULL,65009
5739,2023-01-01,NULL,65010
5740,2023-01-01,NULL,65011
5741,2024-01-01,NULL,65012
5742,2024-01-01,NULL,65013
5743,2023-01-01,NULL,65014
5744,2024-01-01,NULL,65015
5745,2024-01-01,NULL,65016
5746,2024-01-01,NULL,65017
5747,2024-01-01,NULL,65018
5748,2024-01-01,NULL,65019
5749,2023-01-01,NULL,65020
5750,2023-01-01,NULL,65021
5751,2023-01-01,NULL,65022
5752,2024-01-01,NULL,65023
5753,2024-01-01,NULL,65024
5754,2023-01-01,NULL,65025
5755,2023-01-01,NULL,65026
5756,2023-01-01,NULL,65027
5757,2024-01-01,NULL,65028
5758,2024-01-01,NULL,65029
5759,2024-01-01,NULL,65030
5760,2023-01-01,NULL,65031
5761,2024-01-01,NULL,65032
5762,2024-01-01,NULL,65033
5763,2024-01-01,NULL,65034
5764,2024-01-01,NULL,65035
5765,2024-01-01,NULL,65036
5766,2024-01-01,NULL,65037
5767,2024-01-01,NULL,65038
5768,2023-01-01,NULL,65039
5769,2023-01-01,NULL,65040
5770,2024-01-01,NULL,65041
5771,2023-01-01,NULL,65042
5772,2024-01-01,NULL,65043
5773,2024-01-01,NULL,65044
5774,2024-01-01,NULL,65045
5775,2023-01-01,NULL,65046
5776,2024-01-01,NULL,65047
5777,2024-01-01,NULL,65048
5778,2023-01-01,NULL,65049
5779,2023-01-01,NULL,65050
5780,2024-01-01,NULL,65051
5781,2023-01-01,NULL,65052
5782,2023-01-01,NULL,65053
5783,2024-01-01,NULL,65054
5784,2024-01-01,NULL,65055
5785,2023-01-01,NULL,65056
5786,2023-01-01,NULL,65057
5787,2024-01-01,NULL,65058
5788,2023-01-01,NULL,65059
5789,2023-01-01,NULL,65060
5790,2024-01-01,NULL,65061
5791,2024-01-01,NULL,65062
5792,2024-01-01,NULL,65063
5793,2023-01-01,NULL,65064
5794,2024-01-01,NULL,65065
5795,2023-01-01,NULL,65066
5796,2023-01-01,NULL,65067
5797,2023-01-01,NULL,65068
5798,2023-01-01,NULL,65069
5799,2023-01-01,NULL,65070
5800,2023-01-01,NULL,65071
5801,2024-01-01,NULL,65072
5802,2024-01-01,NULL,65073
5803,2023-01-01,NULL,65074
5804,2024-01-01,NULL,65075
5805,2023-01-01,NULL,65076
5806,2024-01-01,NULL,65077
5807,2024-01-01,NULL,65078
5808,2023-01-01,NULL,65079
5809,2024-01-01,NULL,65080
5810,2024-01-01,NULL,65081
5811,2023-01-01,NULL,65082
5812,2024-01-01,NULL,65083
5813,2024-01-01,NULL,65084
5814,2023-01-01,NULL,65085
5815,2024-01-01,NULL,65086
5816,2024-01-01,NULL,65087
5817,2024-01-01,NULL,65088
5818,2023-01-01,NULL,65089
5819,2024-01-01,NULL,65090
5820,2024-01-01,NULL,65091
5821,2023-01-01,NULL,65092
5822,2023-01-01,NULL,65093
